samples,intensity,group
A.1,18.3362,A
A.1,18.6715,A
A.1,17.4333,A
A.1,15.0239,A
A.1,16.996,A
A.1,15.0768,A
A.1,12.9396,A
A.1,15.7966,A
A.1,15.5473,A
A.1,15.4344,A
A.1,13.8313,A
A.1,16.8573,A
A.1,17.3643,A
A.1,12.0032,A
A.1,12.5728,A
A.1,15.0121,A
A.1,17.2378,A
A.1,17.0083,A
A.1,18.7263,A
A.1,15.8412,A
A.1,15.4802,A
A.1,14.688,A
A.1,16.266,A
A.1,17.7697,A
A.1,15.8682,A
A.1,12.4528,A
A.1,18.1576,A
A.1,15.8012,A
A.1,15.3359,A
A.1,14.9903,A
A.1,14.0891,A
A.1,16.8715,A
A.1,17.9431,A
A.1,17.2817,A
A.1,16.8465,A
A.1,16.4282,A
A.1,18.5358,A
A.1,18.4701,A
A.1,12.6038,A
A.1,16.229,A
A.1,17.1182,A
A.1,15.9486,A
A.1,19.0817,A
A.1,16.5339,A
A.1,17.7458,A
A.1,16.0896,A
A.1,17.8355,A
A.1,17.7245,A
A.1,17.6214,A
A.1,13.0582,A
A.1,15.345,A
A.1,17.5527,A
A.1,15.6311,A
A.1,17.2154,A
A.1,18.3281,A
A.1,16.4434,A
A.1,13.0235,A
A.1,16.3167,A
A.1,15.7434,A
A.1,17.0159,A
A.1,19.012,A
A.1,16.4843,A
A.1,18.5906,A
A.1,20.7968,A
A.1,16.6164,A
A.1,12.9153,A
A.1,16.7835,A
A.1,18.1513,A
A.1,20.4552,A
A.1,16.1107,A
A.1,18.4481,A
A.1,15.8862,A
A.1,18.1556,A
A.1,19.7795,A
A.1,16.6636,A
A.1,19.5604,A
A.1,19.6848,A
A.1,22.9202,A
A.1,16.5815,A
A.1,17.9757,A
A.1,24.5968,A
A.1,15.3552,A
A.1,15.2773,A
A.1,16.6997,A
A.1,20.6607,A
A.1,14.5671,A
A.1,16.6716,A
A.1,17.5658,A
A.1,13.2208,A
A.1,19.5351,A
A.1,15.7178,A
A.1,14.8059,A
A.1,14.9634,A
A.1,15.2705,A
A.1,18.885,A
A.1,17.7072,A
A.1,18.0025,A
A.1,13.7662,A
A.1,16.5486,A
A.1,18.4431,A
A.1,18.67,A
A.1,17.4203,A
A.1,17.9502,A
A.1,12.3872,A
A.1,18.7722,A
A.1,16.3959,A
A.1,16.1743,A
A.1,14.5737,A
A.1,15.0306,A
A.1,17.482,A
A.1,16.3506,A
A.1,17.2066,A
A.1,21.8945,A
A.1,13.3606,A
A.1,16.5508,A
A.1,20.2017,A
A.1,17.0178,A
A.1,17.6493,A
A.1,18.2692,A
A.1,15.7746,A
A.1,14.2944,A
A.1,20.4893,A
A.1,22.5281,A
A.1,14.957,A
A.1,14.6788,A
A.1,16.6742,A
A.1,13.6919,A
A.1,16.3969,A
A.1,17.9129,A
A.1,23.2521,A
A.1,13.3144,A
A.1,15.4586,A
A.1,17.3866,A
A.1,14.9208,A
A.1,17.3308,A
A.1,18.0043,A
A.1,17.7395,A
A.1,16.8929,A
A.1,18.0604,A
A.1,12.1585,A
A.1,16.4042,A
A.1,21.5947,A
A.1,17.1147,A
A.1,15.5812,A
A.1,16.7934,A
A.1,14.6376,A
A.1,17.0537,A
A.1,17.634,A
A.1,15.7954,A
A.1,17.2947,A
A.1,16.5041,A
A.1,14.6275,A
A.1,15.8032,A
A.1,17.7007,A
A.1,15.9224,A
A.1,16.1095,A
A.1,16.452,A
A.1,18.73,A
A.1,18.9551,A
A.1,16.9759,A
A.1,21.862,A
A.1,22.1971,A
A.1,19.54,A
A.1,19.1817,A
A.1,15.683,A
A.1,17.8524,A
A.1,14.3953,A
A.1,16.6297,A
A.1,13.664,A
A.1,15.5599,A
A.1,22.1172,A
A.1,16.669,A
A.1,20.3278,A
A.1,15.2854,A
A.1,18.3431,A
A.1,16.4346,A
A.1,16.9914,A
A.1,17.7809,A
A.1,17.7483,A
A.1,20.6874,A
A.1,17.6235,A
A.1,21.305,A
A.1,15.3081,A
A.1,14.9547,A
A.1,20.0641,A
A.1,19.2365,A
A.1,19.3834,A
A.1,17.8599,A
A.1,18.2321,A
A.1,13.5674,A
A.1,21.523,A
A.1,17.8893,A
A.1,19.8162,A
A.1,14.7473,A
A.1,17.8105,A
A.1,18.9708,A
A.1,16.5309,A
A.1,16.3697,A
A.1,17.1335,A
A.1,21.0488,A
A.1,15.5058,A
A.1,16.0584,A
A.1,15.3427,A
A.1,18.6859,A
A.1,20.8793,A
A.1,24.05,A
A.1,20.8867,A
A.1,23.5068,A
A.1,13.5565,A
A.1,21.6568,A
A.1,24.3228,A
A.1,15.9687,A
A.1,24.1845,A
A.1,19.4821,A
A.1,15.8427,A
A.1,13.536,A
A.1,17.8145,A
A.1,19.7209,A
A.1,16.6271,A
A.1,13.0177,A
A.1,18.4751,A
A.1,13.8285,A
A.1,15.6776,A
A.1,19.1237,A
A.1,17.249,A
A.1,18.4489,A
A.1,20.3146,A
A.1,15.6152,A
A.1,15.3402,A
A.1,14.0852,A
A.1,17.478,A
A.1,15.6698,A
A.1,16.9516,A
A.1,15.9714,A
A.1,16.4894,A
A.1,17.4189,A
A.1,17.7958,A
A.1,14.0085,A
A.1,15.1567,A
A.1,12.8887,A
A.1,19.4299,A
A.1,16.7433,A
A.1,16.7553,A
A.1,16.6701,A
A.1,19.9708,A
A.1,16.5438,A
A.1,17.6023,A
A.1,18.7762,A
A.1,20.5567,A
A.1,16.1341,A
A.1,19.5971,A
A.1,20.0567,A
A.1,17.3285,A
A.1,20.9942,A
A.1,16.0236,A
A.1,15.3513,A
A.1,17.9177,A
A.1,19.8586,A
A.1,18.4122,A
A.1,15.4713,A
A.1,19.119,A
A.1,17.0177,A
A.1,20.7398,A
